Unnamed: 0,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.9247,0.9387,0.9367,0.9993,0.9773,0.8776
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.9247,0.9387,0.9367,0.9993,0.9773,0.8776
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.8421,0.9078,0.9032,0.9984,0.8696,0.8163
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.8163,0.9077,0.9031,0.9981,0.8163,0.8163
LogisiticRegression,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.3297,0.9597,0.9595,0.9804,0.2,0.9388
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.8667,0.8979,0.892,0.9987,0.9512,0.7959
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,0.9990000000000001,1.0,0.7959
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,0.9990000000000001,1.0,0.7959
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,0.9990000000000001,1.0,0.7959
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7917,0.8873,0.8802,0.9979,0.8085,0.7755
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7525,0.887,0.88,0.9974,0.7308,0.7755
LogisiticRegression,LogisticRegression, LogisticRegression+BorderlineSMOTE ,BorderlineSMOTE,0.3132,0.9391,0.9382,0.9797,0.1897,0.898
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8632,0.9181,0.9145,0.9986,0.8913,0.8367
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8989,0.9082,0.9035,0.9991,1.0,0.8163
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.9111,0.9184,0.9147,0.9992,1.0,0.8367
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8889,0.9081,0.9035,0.9990000000000001,0.9756,0.8163
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.82,0.9178,0.9142,0.9981,0.8039,0.8367
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.7879,0.8974,0.8916,0.9978,0.78,0.7959
LogisiticRegression,LogisticRegression, LogisticRegression+SVMSMOTE ,SVMSMOTE,0.3206,0.9195,0.9174,0.9813,0.1972,0.8571
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SVMSMOTE ,SVMSMOTE,0.8632,0.9181,0.9145,0.9986,0.8913,0.8367
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.9231,0.9286,0.9258,0.9993,1.0,0.8571
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SVMSMOTE ,SVMSMOTE,0.9011,0.9183,0.9147,0.9991,0.9762,0.8367
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.9129999999999999,0.9285,0.9258,0.9992,0.9767,0.8571
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.5417,0.895,0.8895,0.9931,0.4105,0.7959
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.7573,0.8972,0.8914,0.9974,0.7222,0.7959
LogisiticRegression,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.2761,0.9469,0.9465,0.9752,0.1625,0.9184
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTEENN ,SMOTEENN,0.7885,0.9176,0.9141,0.9977,0.7455,0.8367
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTEENN ,SMOTEENN,0.8913,0.9183,0.9146,0.9990000000000001,0.9535,0.8367
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.9053,0.9386,0.9366,0.9991,0.9348,0.8776
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTEENN ,SMOTEENN,0.9149,0.9387,0.9367,0.9992,0.9556,0.8776
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5985,0.9159,0.9125,0.9942,0.4659,0.8367
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTETomek ,SMOTETomek,0.5926,0.9057,0.9013,0.9942,0.4651,0.8163
LogisiticRegression,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.3151,0.9590000000000001,0.9588,0.9790000000000001,0.1893,0.9388
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.78,0.8973,0.8916,0.9977,0.7647,0.7959
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTETomek ,SMOTETomek,0.8913,0.9183,0.9146,0.9990000000000001,0.9535,0.8367
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9387,0.9367,0.9993,0.9773,0.8776
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9387,0.9367,0.9993,0.9773,0.8776
